calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,part1_final_value,random_shock_percentages,shock_counter_text_first.started,rating_resp.started,rating_shock_counter.started,rating_resp.keys,rating_resp.rt,fixation.started,fixation.stopped,shock_counter_text.started,part2_final_shock_value,final_shock_text_2.started,final_shock_key_resp.started,final_shock_key_resp.keys,final_shock_key_resp.rt,final_shock_text.started,,date,expName,psychopyVersion,frameRate,
,,,,6.0,[ 90  60  50 100  80  50  70 100  80  40  90  40  70  60],10.031308599980548,1.3699987903237343e-05,12.703020800021477,8,2.57455060002394,,,,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
0,0,0,0,,,,1.8900027498602867e-05,27.330749800021295,7,6.601908300013747,33.94326859997818,15.792602400004398,15.792602400004398,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
1,0,1,0,,,,2.050003968179226e-05,43.511396799993236,5,4.949003399990033,48.470817299967166,,34.44421970000258,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
2,0,2,0,,,,1.6900012269616127e-05,61.86282239999855,6,10.158826400001999,72.03208319999976,,48.97174020000966,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
3,0,3,0,,,,1.5099998563528061e-05,82.91937939997297,8,6.2515025999746285,89.18124130001524,,72.53304000000935,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
4,0,4,0,,,,2.0499981474131346e-05,100.1186365999747,2,4.0477684999932535,104.17632019997109,,89.68219239998143,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
5,0,5,0,,,,1.8199963960796595e-05,115.21422219998203,4,3.9806028000311926,119.20479539997177,,104.67726309999125,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
6,0,6,0,,,,1.8000020645558834e-05,128.3387659,5,4.598246900015511,132.9474963999819,133.44844549999107,119.70574140001554,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
7,0,7,0,,,,1.73999578692019e-05,141.6974140999955,7,4.56485620001331,146.2727471999824,,133.44844549999107,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
8,0,8,0,,,,1.8200022168457508e-05,157.36070359998848,1,4.264504400023725,161.63519369997084,,146.7736926000216,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
9,0,9,0,,,,1.8200022168457508e-05,172.77295999997295,9,3.9970506000099704,176.78055339999264,,162.13614249997772,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
10,0,10,0,,,,1.5600002370774746e-05,188.5027619000175,2,3.5131181000033394,192.02610740001546,,177.28150549996644,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
11,0,11,0,,,,1.780001912266016e-05,204.16577849996975,7,3.8634889000095427,208.03978320001625,,192.52705590002006,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
12,0,12,0,,,,1.899997005239129e-05,217.27395790000446,7,4.264284100034274,221.54872059996706,,208.54074720002245,,,,,,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
,,,,,,,,,,,222.04964300000574,,,4.59,222.56733459996758,222.56733459996758,space,28.320515800034627,,,2024-03-14_12h09.35.033,calibrate_shock_part-2,2022.2.4,59.88601295946395,
,,,,,,,,,,,,,,4.59,,,,,250.90434130001813,,,,,,
