trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,n,expectancy_response.keys_raw,order
CS-,0,14,8,stimuli/rotated.png,1,1,extinction,1.0,,0.0
CS+,0,13.5,8,stimuli/aligned.png,2,1,extinction,1.0,,1.0
CS+,0,13,8,stimuli/aligned.png,3,1,extinction,1.0,,2.0
CS-,0,12.5,8,stimuli/rotated.png,4,1,extinction,1.0,,3.0
CS+,0,9.5,8,stimuli/aligned.png,5,1,extinction,1.0,,4.0
CS-,0,11,8,stimuli/rotated.png,6,1,extinction,1.0,,5.0
CS+,0,10,8,stimuli/aligned.png,7,1,extinction,1.0,,6.0
CS-,0,11.5,8,stimuli/rotated.png,8,1,extinction,1.0,,7.0
CS-,0,9,8,stimuli/rotated.png,9,1,extinction,1.0,,8.0
CS+,0,15,8,stimuli/aligned.png,10,1,extinction,1.0,,9.0
CS+,0,10.5,8,stimuli/aligned.png,11,1,extinction,1.0,,10.0
CS-,0,12,8,stimuli/rotated.png,12,1,extinction,1.0,,11.0
CS-,0,14.5,8,stimuli/rotated.png,13,1,extinction,1.0,,12.0
CS+,0,13.5,8,stimuli/aligned.png,14,1,extinction,1.0,,13.0
CS-,0,11.5,8,stimuli/rotated.png,15,1,extinction,1.0,,14.0
CS+,0,9,8,stimuli/aligned.png,16,1,extinction,1.0,,15.0
CS-,0,9.5,8,stimuli/rotated.png,17,1,extinction,1.0,,16.0
CS-,0,15,8,stimuli/rotated.png,18,1,extinction,1.0,,17.0
CS+,0,13,8,stimuli/aligned.png,19,1,extinction,1.0,,18.0
CS+,0,10.5,8,stimuli/aligned.png,20,1,extinction,1.0,,19.0
CS-,0,12,8,stimuli/rotated.png,21,2,extinction,1.0,,20.0
CS-,0,14,8,stimuli/rotated.png,22,2,extinction,1.0,,21.0
CS+,0,11,8,stimuli/aligned.png,23,2,extinction,1.0,,22.0
CS-,0,10,8,stimuli/rotated.png,24,2,extinction,1.0,,23.0
CS+,0,14.5,8,stimuli/aligned.png,25,2,extinction,1.0,,24.0
CS+,0,12.5,8,stimuli/aligned.png,26,2,extinction,1.0,,25.0
CS-,0,11,8,stimuli/rotated.png,27,2,extinction,1.0,,26.0
CS-,0,14,8,stimuli/rotated.png,28,2,extinction,1.0,,27.0
CS+,0,12.5,8,stimuli/aligned.png,29,2,extinction,1.0,,28.0
CS-,0,11.5,8,stimuli/rotated.png,30,2,extinction,1.0,,29.0
CS+,0,13.5,8,stimuli/aligned.png,31,2,extinction,1.0,,30.0
CS-,0,9.5,8,stimuli/rotated.png,32,2,extinction,1.0,,31.0
CS+,0,10.5,8,stimuli/aligned.png,33,2,extinction,1.0,,32.0
CS+,0,10,8,stimuli/aligned.png,34,2,extinction,1.0,,33.0
CS-,0,15,8,stimuli/rotated.png,35,2,extinction,1.0,,34.0
CS-,0,9,8,stimuli/rotated.png,36,2,extinction,1.0,,35.0
CS+,0,13,8,stimuli/aligned.png,37,2,extinction,1.0,,36.0
CS+,0,14.5,8,stimuli/aligned.png,38,2,extinction,1.0,,37.0
CS-,0,12,8,stimuli/rotated.png,39,2,extinction,1.0,,38.0
CS+,0,10,8,stimuli/aligned.png,40,2,extinction,1.0,,39.0

extraInfo
,
date,2024-03-14_15h09.49.252
expName,extinction
psychopyVersion,2022.2.4
frameRate,59.8870888873509
